player_name,image_filename,is_retained,retaining_team_name,last_year_price,role,last_team,overall_matches,overall_runs,overall_wickets,overall_sr,overall_hs,batting_inn,batting_avg,bowling_inn,bowling_avg,econ,bbi
DURAIRAJ RAJENDIRAN,durairaj_rajendran.jpeg,FALSE,,,ALL ROUNDER,-,26,437,20,108.98,54,,,,,,
JAYAKUMAR JAMBULINGAM,jayakumar_jambulingam.jpeg,FALSE,,,ALL ROUNDER,-,85,567,117,103.47,62,,,,,,
SIVARAJ KOLANJI,sivaraj.jpeg,FALSE,,,ALL ROUNDER,UNIVERSAL CC,117,2582,74,120.77,77,109,28.37,,,,
TAMIZHARASAN MURUGAN,thamizharasan_murugan.jpeg,FALSE,,,ALL ROUNDER,-,75,981,3,139.74,75,66,16.35,,,,
KAVIYARASAN KANAN,kaviyarasan_kannan.jpeg,FALSE,,,ALL ROUNDER,"KALAI VICTORY
CRICKET",167,1005,187,87.85,54*,107,13.4,,,,
KAMALAKANNAN DEIVAKANNU,kamalakannan_deivakannu.jpeg,FALSE,,,ALL ROUNDER,NO,13,307,1,178.49,74,12,25.58,,,,
PRAKASH THANAPAL,prakash_thanapal.jpeg,FALSE,-,,ALL ROUNDER,ELITE STRIKERS,12,4,0,-,-,-,-,,,,
KANNAN SUBRAMANIYAN,kannan_subramaniyan.jpeg,FALSE,-,,ALL ROUNDER,"NOT PLAYED TILL
NOW",208,3242,244,110.16,110,175,22.99,,,,
HAKKIM SATE JAFARI ALI,hakkim_sate_ jafar_ali.jpeg,FALSE,-,,ALL ROUNDER,,140,1174,162,90.73,64,95,16.31,,,,
SUDHANRAJ RAJENDIRAN,sudhanraj_rajendran.jpeg,FALSE,-,,ALL ROUNDER,"SOORYA CDM
SHARKS",64,917,51,-,-,-,-,,,,
KARTHIKEYAN SAKKARAPANI,karthikeyan_sakkarapani.jpeg,FALSE,-,,ALL ROUNDER,NO,27,338,24,125.65,63*,23,16.9,,,,
SIVA SAKKARABANI,siva_sakkarapani.jpeg,FALSE,-,,ALL ROUNDER,APJ BOYS,15,92,12,75.41,23*,12,23,,,,
SIVAKUMAR CHINNADURAI,sivakumar_csk.jpeg,FALSE,-,,ALL ROUNDER,ELITE STRIKERS,203,2696,214,107.15,74,158,25.2,,,,
NAVEEN THILLAI GOVINDAN,naveen_thillaigovindhan.jpeg,FALSE,-,,ALL ROUNDER,APJ BOYS,92,355,49,57.82,28,60,6.7,,,,
PREMKUMAR RAJALINGAM,premkumar_rajalingam.jpeg,FALSE,-,,ALL ROUNDER,,307,6704,269,127.79,136*,290,25.49,,,,
RAM CHANDRAN RAMANUJAM,,FALSE,-,,ALL ROUNDER,,80,619,2,121.14,58,63,10.32,,,,
DEVAKUMAR SIVAKUMAR,devakumar_sivakumar.jpeg,FALSE,-,,ALL ROUNDER,,220,4929,115,124.75,139,199,27.38,,,,
KATHIRAVAN JAYAVEL,kathiravan.png,FALSE,-,,ALL ROUNDER,"UNIVERSAL
CRICKET CLUB",86,307,123,-,-,-,-,,,,
MANO MURUGAN,mano_murugan.jpeg,FALSE,-,,ALL ROUNDER,ACA,26,210,5,73.68,63,21,11.05,,,,
"SATHAKATHULLA ABDUL
RASHEED",ar_sathakathulla.jpeg,FALSE,-,,ALL ROUNDER,,171,1702,253,93.47,68*,153,12.16,,,,
BOOVARAGAVAN SOMU,boovaraghavan.jpeg,FALSE,Crazy-11,,ALL ROUNDER,MIGHTY,94,1211,7,145.2,65*,84,16.15,,,,
VEERAMUTHU VEERASAMY,,FALSE,-,,ALL ROUNDER,THRILLER CC,181,290,120,64.02,34,67,7.25,,,,
RAJASEKAR RAJAVEL,rajasekar_rajavel.jpeg,FALSE,-,,ALL ROUNDER,NO,24,13,15,34.21,5,,,,,,
BANSINGH BASKER,,FALSE,-,,ALL ROUNDER,COSMO CC,78,1910,17,134.6,116*,72,30.81,,,,
JEEVANANTHAN KUMAR,jeevananthan_kumar.png,FALSE,-,,ALL ROUNDER,"APJ VILLAGE
BOYS",4,25,2,58.14,14,,,,,,
KARTHIK MURUGAN,karthik_murugan.jpeg,FALSE,-,,ALL ROUNDER,THRILLERS CC,182,4356,154,145.2,107*,176,26.72,,,,
RAJ RAJENDRAN,raj.jpeg,FALSE,-,,ALL ROUNDER,"TIMESS CC AND PUTHIYA
SIRAGUKAL",54,255,56,80.95,26,,,,,,
VISHAL PRAVEEN PRAKASH,vishal_praveen.jpeg,FALSE,-,,ALL ROUNDER,ELITE STRIKERS,4,36,5,60,30,,,,,,
SRIDHAR KEMBURAJ,sridhar_kemburaj.jpeg,FALSE,-,,ALL ROUNDER,,52,332,41,75.45,52,33,12.3,,,,
ASWIN KUMAR KALAIVANA,aswin_kalaivanan.jpeg,FALSE,-,,ALL ROUNDER,"APJ VILLAGE
BOYS",151,163,113,46.44,43*,55,7.41,,,,
AVINESH KALAIVANAN,avinash_kalaivanan.jpeg,FALSE,-,,ALL ROUNDER,AU AGRICULTURE,103,1071,42,88.15,45*,90,13.56,,,,
MUKESH KRISHNAN,mukesh_k.jpeg,FALSE,,,ALL ROUNDER,"ANNAMALAI
UNIVERSITY",,,,,,,,,,,
RAHUL RAJA RAJENDIREN,ragul_raja.jpeg,FALSE,-,,ALL ROUNDER,REUNION CC,88,1111,1,71.26,53,82,14.24,,,,
RAAM PRAKASH RAVI,ramprakash_ravi.jpeg,FALSE,-,,ALL ROUNDER,"AU PHYSICAL
EDUCATION",178,2717,53,122.33,63,164,18.61,,,,
ARUN KANNAN,arun.jpeg,FALSE,-,,ALL ROUNDER,IYANGARAN CC,41,612,23,181.6,71,36,24.48,,,,
PUGAZHENTHI KATHIRVEL,pugazhenthi_kathirvel.jpeg,FALSE,-,,ALL ROUNDER,"AJP VILLAGE
BOYS",79,865,76,85.64,61,68,15.73,,,,
SRIRAM RAVI,sriram_ravi.jpeg,FALSE,-,,ALL ROUNDER,"SOORYA CDM
SHARKS",216,5124,114,93.86,107*,202,29.79,,,,
RANJITHKUMAR KUPPUSAMY,ranjith_kumar_kuppusamy.jpeg,FALSE,-,,ALL ROUNDER,"APJ YOUNG
TAMIZHAN",2,7,0,46.67,5,2,3.5,,,,
SANTHOSH RAMAR,santhosh_ramar.jpeg,FALSE,-,,ALL ROUNDER,,70,758,99,79.71,43*,65,14.04,,,,
KATHIRAVAN ,kathiravan_m.jpeg,FALSE,-,,ALL ROUNDER,,21,51,13,22.47,18*,13,6.38,,,,
KARTHICK SELVARAJ,karthick_selvaraj.png,FALSE,-,,ALL ROUNDER,NO,168,3390,117,120,101*,146,26.69,,,,
VELMANI PAZHANISAMY,velmani_pazhanisamy.jpeg,FALSE,,,ALL ROUNDER,SPARTEN,152,1056,213,78.28,68,,,,,,
RAMACHANDRAN GOTHANDAPANI,ramachandran.jpeg,FALSE,,,ALL ROUNDER,SPARTEN,,,,,,,,,,,
YUVARAJ MUTHAMIZH,yuvaraj_muthamizh.jpeg,FALSE,,,ALL ROUNDER,JOLLY PLAYERS,,,,,,,,,,,
SANJAI RISHI SILAMBARASAN,sanjai_rishi.jpeg,FALSE,,,ALL ROUNDER,JOLLY PLAYERS,,,,,,,,,,,
SILAMBARASAN,,TRUE,APJ TAMIZHAN,1500,ALL ROUNDER,,109,1908,147,120.84,103,,,,,,
RANJITH,,TRUE,APJ TAMIZHAN,1400,ALL ROUNDER,,71,970,35,110.6,105,,,,,,
SARANRAJ,,TRUE,APJ TAMIZHAN,1350,ALL ROUNDER,,160,1399,215,113.74,62,,,,,,
ARUNDHARSHAN,,TRUE,APJ TAMIZHAN,575,ALL ROUNDER,,-,-,-,-,-,,,,,,
RAMESH,,TRUE,APJ TAMIZHAN,475,ALL ROUNDER,,88,1165,47,144.72,110,,,,,,
PRATHISH,,TRUE,APJ TAMIZHAN,325,ALL ROUNDER,,81,1155,37,77.05,72,,,,,,
MUKIL,,TRUE,THUNDER STRIKERS,1800,ALL ROUNDER,,268,7352,105,138.07,119,,,,,,
ANBU,,TRUE,THUNDER STRIKERS,1650,ALL ROUNDER,,235,1343,199,87.78,100,,,,,,
GURU,,TRUE,THUNDER STRIKERS,1500,ALL ROUNDER,,229,2392,324,67.17,61,,,,,,
DINESH,,TRUE,THUNDER STRIKERS,700,ALL ROUNDER,,89,794,90,92.22,58,,,,,,
VIGNESH,,TRUE,THUNDER STRIKERS,675,ALL ROUNDER,,,,,,,,,,,,
CHANDRU,,TRUE,THUNDER STRIKERS,650,ALL ROUNDER,,268,6070,101,126.96,121,,,,,,
CHINNAPULLA,,TRUE,THUNDER STRIKERS,650,ALL ROUNDER,,43,428,21,108.08,90,,,,,,
HARI,,TRUE,THUNDER STRIKERS,450,ALL ROUNDER,,142,1984,81,86.64,79,,,,,,
RAJAMOORTHI,,TRUE,THUNDER STRIKERS,425,ALL ROUNDER,,,,,,,,,,,,
SATHISH RAJU,,TRUE,THUNDER STRIKERS,225,ALL ROUNDER,,50,714,7,154.88,82,,,,,,
VASANTH,,TRUE,CRAZY 11,1700,ALL ROUNDER,,135,2813,38,102.03,78,,,,,,
NITHYARAJ,,TRUE,CRAZY 11,1500,ALL ROUNDER,,118,1573,167,83.05,84,,,,,,
PRIYADHARSHAN,,TRUE,CRAZY 11,1100,ALL ROUNDER,,108,1457,2,77.46,139,,,,,,
NAVEEN,,TRUE,CRAZY 11,900,ALL ROUNDER,,54,388,58,92.38,52,,,,,,
THILLAI,,TRUE,CRAZY 11,225,ALL ROUNDER,,15,30,1,44.12,6,,,,,,
ABI,,TRUE,CRAZY 11,225,ALL ROUNDER,,39,209,23,101.95,42,,,,,,
SRIDHAR,,TRUE,DADA WARRIORS,2600,ALL ROUNDER,,52,332,41,75.8,52,,,,,,
PRAVEEN,,TRUE,DADA WARRIORS,1500,ALL ROUNDER,,77,849,88,90.71,62,,,,,,
KAMAL,,TRUE,DADA WARRIORS,375,ALL ROUNDER,,82,1365,7,94.73,67,,,,,,
FRANKLIN,,TRUE,DADA WARRIORS,225,ALL ROUNDER,,166,1822,17,80.41,83,,,,,,
PRAKASH,,TRUE,DADA WARRIORS,225,ALL ROUNDER,,78,878,43,91.84,55,,,,,,
SIVA SUBRAMANIYAN,,TRUE,DADA WARRIORS,225,ALL ROUNDER,,23,61,10,54.95,21,,,,,,
DHARNESH,,TRUE,DADA WARRIORS,225,ALL ROUNDER,,96,1807,18,90.21,132,,,,,,
VEERA,,TRUE,JOLLY PLAYERS,1700,ALL ROUNDER,,156,2224,155,123.62,100,,,,,,
VINOTH,,TRUE,JOLLY PLAYERS,1500,ALL ROUNDER,,77,446,49,84.31,41,,,,,,
MOULI,,TRUE,JOLLY PLAYERS,1100,ALL ROUNDER,,78,553,55,108.86,47,,,,,,
VASUDEVAN,,TRUE,JOLLY PLAYERS,250,ALL ROUNDER,,34,68,35,53.54,14,,,,,,
KISHORE,,TRUE,JOLLY PLAYERS,225,ALL ROUNDER,,76,334,46,46.2,36,,,,,,
SANJITH,,TRUE,JOLLY PLAYERS,225,ALL ROUNDER,,64,488,1,56.61,54,,,,,,
POOVARASAN,,TRUE,SPARTEN ROCKERZ,1850,ALL ROUNDER,,237,5776,157,116.97,107,,,,,,
BHARATHI,,TRUE,SPARTEN ROCKERZ,1500,ALL ROUNDER,,214,2474,283,104.74,67,,,,,,
ABISHEK,,TRUE,SPARTEN ROCKERZ,275,ALL ROUNDER,,32,454,1,91.16,64,,,,,,
GOWTHAM,,TRUE,SPARTEN ROCKERZ,225,ALL ROUNDER,,73,426,48,76.76,39,,,,,,
BALAJI,,TRUE,SPARTEN ROCKERZ,225,ALL ROUNDER,,113,247,71,64.66,24,,,,,,
